crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL - PLAN COMUN;659;568;704;664;662;-73,0464155;-36,829532;40;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL INDUSTRIAL;807;762;751;744;784;-73,0464155;-36,829532;38;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL BIOMEDICA;785;686;748;660;735;-73,0464155;-36,829532;37;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;760;653;741;682;737;-73,0464155;-36,829532;38;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL QUIMICA;783;616;775;726;759;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL QUIMICA;791;759;702;748;757;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;816;711;702;707;757;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;762;729;704;832;752;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;682;671;818;703;745;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL QUIMICA;723;664;770;666;727;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;764;702;733;666;726;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL QUIMICA;682;739;745;697;721;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;746;729;673;711;721;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL MECANICA;744;623;745;679;717;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;723;638;713;702;703;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL QUIMICA;744;573;715;704;702;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL QUIMICA;682;638;733;697;701;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;785;628;691;623;699;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERÍA CIVIL DE MINAS;696;755;663;630;690;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL METALURGICA;655;618;734;637;676;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;620;600;715;678;668;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL METALURGICA;682;607;690;592;661;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL MECANICA;641;611;686;666;661;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL INDUSTRIAL;744;804;806;810;791;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL;785;671;832;730;781;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;785;717;785;642;753;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL ELECTRONICA;723;699;828;620;751;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;805;700;756;699;751;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;764;700;756;727;745;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;764;737;750;668;739;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;805;596;777;637;736;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL;826;650;713;682;727;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;723;735;724;722;725;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL ELECTRICA;805;703;690;713;724;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;744;727;728;668;723;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL QUIMICA;764;706;727;651;722;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;805;650;694;657;710;-73,0464155;-36,829532;36;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;661;689;761;613;703;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;744;648;728;598;701;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL;744;723;686;615;695;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL QUIMICA;661;648;716;688;688;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;682;670;708;657;688;-73,0464155;-36,829532;36;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL;785;721;719;662;746;-73,0464155;-36,829532;35;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;702;707;850;721;772;-73,0464155;-36,829532;33;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;734;697;766;694;738;-73,0464155;-36,829532;33;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;715;636;728;670;707;-73,0464155;-36,829532;33;0,913203;1;0;0;1;0;1
INGENIERÍA CIVIL DE MINAS;740;636;679;692;705;-73,0464155;-36,829532;33;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL;661;697;755;608;701;-73,0464155;-36,829532;33;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL;661;616;722;617;676;-73,0464155;-36,829532;33;0,913203;0;1;0;1;0;2
